aX,aY,aZ,gX,gY,gZ
-0.016,-1.078,0.031,-7.324,9.521,6.897
0.013,-1.086,0.048,-9.155,12.207,7.507
0.036,-1.099,0.057,-9.216,15.259,7.446
0.069,-1.112,0.066,-7.202,18.982,6.653
0.103,-1.115,0.064,-3.967,23.621,6.104
0.129,-1.121,0.066,-1.404,28.748,6.287
0.162,-1.132,0.059,-0.183,35.217,6.714
0.189,-1.140,0.034,0.916,43.518,8.484
0.187,-1.148,-0.015,1.404,53.406,11.719
0.181,-1.147,-0.091,1.892,64.453,15.869
0.151,-1.153,-0.199,6.104,75.012,17.761
0.117,-1.161,-0.346,14.099,83.313,17.761
0.047,-1.137,-0.504,23.682,88.196,17.334
-0.020,-1.079,-0.687,36.255,90.942,13.428
-0.108,-1.025,-0.868,55.298,92.896,6.226
-0.223,-0.972,-1.089,79.712,96.313,-3.296
-0.381,-0.878,-1.324,104.126,102.295,-14.038
-0.608,-0.774,-1.572,123.718,109.436,-23.254
-0.872,-0.711,-1.936,133.179,116.028,-27.405
-1.233,-0.637,-2.310,131.042,118.896,-26.794
-1.660,-0.438,-2.663,123.596,116.333,-23.254
-2.170,-0.280,-3.007,115.295,97.534,-17.395
-2.679,-0.229,-3.308,96.924,61.340,-10.498
-3.028,-0.153,-3.495,64.758,8.362,-5.127
-3.229,-0.050,-3.461,21.606,-68.054,-1.831
-3.339,0.090,-3.099,-23.743,-164.368,-3.845
-3.315,0.164,-2.514,-72.144,-267.212,-15.259
-3.238,0.159,-1.775,-120.117,-364.807,-34.241
-3.171,0.181,-1.049,-157.227,-447.205,-48.828
-3.139,0.169,-0.283,-178.650,-512.329,-57.678
-3.030,0.051,0.516,-191.345,-556.946,-64.270
-2.737,-0.070,1.234,-200.012,-575.134,-62.988
-2.342,-0.218,1.965,-204.956,-570.129,-54.626
-1.894,-0.458,2.638,-217.590,-552.185,-41.992
-1.429,-0.662,3.227,-236.145,-518.860,-23.193
-0.983,-0.846,3.705,-245.239,-468.201,-2.991
-0.563,-1.098,4.000,-236.572,-406.433,12.756
-0.255,-1.290,4.000,-211.121,-346.069,28.076
0.003,-1.384,4.000,-177.490,-287.781,41.077
0.271,-1.434,4.000,-137.878,-229.126,44.678
0.494,-1.411,4.000,-89.355,-169.312,39.978
0.606,-1.301,4.000,-34.546,-115.234,33.569
0.663,-1.099,4.000,13.855,-67.932,29.663
0.685,-0.897,3.828,48.157,-24.414,21.301
0.618,-0.777,3.521,75.012,16.052,8.301
0.495,-0.794,3.259,93.811,54.382,0.610
0.356,-0.810,3.022,98.389,90.820,2.014
0.221,-0.759,2.825,97.839,126.770,7.812
0.100,-0.716,2.625,98.633,162.415,10.864
-0.055,-0.723,2.449,99.915,195.801,10.681
-0.220,-0.769,2.298,100.159,226.929,11.841
-0.318,-1.011,2.271,93.506,256.531,19.287
-0.386,-1.102,2.251,81.543,290.100,35.156
-0.516,-0.972,2.134,78.186,331.482,50.842
-0.614,-0.877,1.949,85.632,376.648,57.678
-0.694,-0.692,1.688,95.703,419.739,55.969
-0.786,-0.581,1.297,103.821,456.909,51.697
-0.902,-0.665,0.964,100.525,484.680,50.049
-1.112,-0.790,0.669,88.684,504.700,50.598
-1.420,-0.831,0.394,84.473,517.334,53.833
-1.776,-0.859,0.154,91.858,518.799,54.810
-2.213,-0.825,-0.113,109.436,513.733,50.903
-2.706,-0.705,-0.549,123.840,502.930,46.692
-3.078,-0.586,-1.118,121.704,485.596,41.809
-3.274,-0.585,-1.736,108.948,452.393,37.109
-3.316,-0.587,-2.207,94.360,398.560,34.241
-3.246,-0.523,-2.586,83.008,333.557,29.419
-3.016,-0.505,-2.815,71.838,265.137,22.278
-2.693,-0.537,-2.885,52.368,198.425,20.996
-2.366,-0.557,-2.727,32.837,133.911,26.550
-2.023,-0.534,-2.471,19.409,77.515,32.532
-1.680,-0.516,-2.223,8.850,31.555,34.058
-1.348,-0.542,-1.947,-0.977,-6.653,32.959
-1.014,-0.502,-1.637,-7.446,-40.588,30.518
-0.720,-0.487,-1.358,-12.512,-70.313,25.024
-0.466,-0.506,-1.102,-18.066,-95.032,17.395
-0.245,-0.532,-0.857,-24.536,-114.197,8.179
-0.095,-0.652,-0.593,-30.151,-127.747,-2.502
0.026,-0.798,-0.362,-35.278,-135.864,-13.794
0.113,-0.866,-0.174,-32.837,-138.306,-22.095
0.168,-0.937,-0.074,-22.278,-135.376,-29.907
0.199,-0.983,0.002,-11.414,-128.845,-36.926
0.225,-1.006,0.035,-6.226,-120.728,-41.260
0.255,-0.996,0.058,-5.432,-111.084,-43.884
0.277,-1.044,0.046,-7.629,-100.403,-45.227
0.244,-1.047,0.028,-9.155,-90.210,-42.358
0.219,-1.041,-0.002,-8.972,-78.979,-37.903
0.198,-1.048,-0.073,-9.521,-67.078,-32.959
0.147,-1.022,-0.132,-11.536,-56.030,-27.161
0.115,-1.021,-0.176,-15.991,-46.692,-21.057
0.063,-1.024,-0.208,-22.461,-39.246,-15.625
0.040,-1.062,-0.223,-26.733,-34.241,-11.963
-0.004,-1.088,-0.214,-27.832,-31.616,-10.742
-0.029,-1.105,-0.207,-26.855,-31.738,-6.592
-0.034,-1.081,-0.180,-26.611,-31.006,-5.127
-0.048,-1.104,-0.162,-26.306,-31.250,-10.376
-0.066,-1.134,-0.153,-23.499,-33.203,-14.160
-0.069,-1.124,-0.137,-20.752,-35.095,-15.015
-0.058,-1.132,-0.102,-19.043,-35.522,-16.113
-0.045,-1.005,-0.173,0.427,1.282,3.662
-0.042,-0.995,-0.169,0.916,0.793,3.113
-0.031,-0.996,-0.162,1.465,1.099,2.380
-0.030,-1.001,-0.160,1.099,1.709,2.380
-0.034,-1.000,-0.157,1.099,2.075,2.747
-0.030,-1.001,-0.153,1.343,2.686,2.625
-0.029,-1.000,-0.149,1.099,3.052,2.441
-0.024,-1.000,-0.141,0.671,3.418,1.892
-0.014,-1.007,-0.126,0.427,3.479,1.465
-0.001,-1.003,-0.113,0.366,3.601,1.526
0.016,-1.001,-0.095,0.610,4.272,1.282
0.041,-1.000,-0.065,0.122,5.249,0.916
0.066,-1.011,-0.040,-1.038,6.348,1.160
0.095,-1.033,0.005,-2.747,7.812,1.709
0.129,-1.042,0.053,-4.272,9.705,1.831
0.160,-1.057,0.091,-4.028,12.390,0.854
0.175,-1.080,0.128,-1.770,15.625,-0.854
0.191,-1.089,0.157,1.770,19.714,-2.014
0.188,-1.089,0.166,5.493,24.902,-3.540
0.173,-1.093,0.155,10.803,30.518,-4.822
0.152,-1.073,0.114,17.944,36.499,-6.226
0.127,-1.053,0.041,24.963,42.969,-8.240
0.068,-1.020,-0.046,29.541,48.889,-11.047
0.013,-0.987,-0.165,34.058,54.138,-13.550
-0.046,-0.953,-0.299,38.940,57.922,-16.846
-0.110,-0.925,-0.446,43.213,58.960,-20.264
-0.188,-0.900,-0.576,44.800,57.129,-23.132
-0.255,-0.864,-0.698,42.419,54.749,-23.865
-0.313,-0.847,-0.799,38.635,53.162,-23.254
-0.361,-0.841,-0.924,34.790,50.903,-22.583
-0.417,-0.857,-1.052,32.654,48.462,-22.705
-0.474,-0.880,-1.186,33.081,45.654,-23.926
-0.557,-0.857,-1.325,36.194,41.382,-25.513
-0.635,-0.806,-1.501,41.931,36.011,-29.053
-0.736,-0.765,-1.660,48.462,28.198,-32.654
-0.869,-0.725,-1.790,50.842,15.320,-33.752
-0.998,-0.670,-1.898,46.631,-1.770,-32.715
-1.129,-0.615,-2.015,39.246,-21.851,-29.907
-1.278,-0.561,-2.088,31.860,-43.701,-28.015
-1.420,-0.498,-2.148,22.827,-67.871,-27.832
-1.545,-0.386,-2.176,10.742,-93.933,-28.870
-1.667,-0.249,-2.150,-2.869,-123.779,-32.166
-1.791,-0.184,-2.055,-22.095,-158.936,-37.170
-1.890,-0.176,-1.874,-50.232,-197.449,-42.786
-1.974,-0.214,-1.591,-83.435,-237.793,-47.974
-2.021,-0.239,-1.306,-111.450,-277.100,-51.636
-2.080,-0.322,-0.996,-129.822,-313.660,-55.542
-2.122,-0.376,-0.645,-139.832,-347.717,-57.861
-2.121,-0.406,-0.267,-139.526,-378.662,-59.814
-2.059,-0.426,0.137,-135.010,-406.006,-64.148
-1.897,-0.427,0.542,-134.216,-425.903,-70.190
-1.677,-0.467,1.066,-142.456,-438.660,-71.228
-1.420,-0.621,1.748,-166.077,-445.251,-61.096
-1.084,-0.897,2.482,-198.914,-440.552,-40.649
-0.691,-1.215,3.191,-226.135,-416.931,-16.113
-0.329,-1.469,3.740,-230.408,-373.291,4.700
-0.037,-1.623,4.000,-202.393,-309.326,18.494
0.194,-1.725,4.000,-151.184,-233.337,27.466
0.384,-1.724,4.000,-97.534,-157.654,34.424
0.520,-1.607,3.847,-52.307,-91.370,39.856
0.581,-1.458,3.564,-12.756,-37.903,43.457
0.562,-1.306,3.290,24.658,2.380,42.969
0.507,-1.158,2.995,61.279,36.926,37.415
0.424,-0.985,2.698,93.689,68.054,27.039
0.346,-0.895,2.399,117.920,96.436,13.428
0.246,-0.871,2.157,134.277,121.643,2.563
0.114,-0.851,1.958,142.883,144.470,0.000
-0.028,-0.807,1.767,145.142,167.297,3.784
-0.159,-0.769,1.604,141.724,190.735,8.911
-0.279,-0.787,1.473,132.996,211.060,13.123
-0.404,-0.790,1.342,120.667,230.713,17.395
-0.517,-0.802,1.174,107.666,249.939,23.437
-0.613,-0.875,1.008,92.834,267.029,31.982
-0.696,-0.913,0.847,76.477,283.325,38.940
-0.773,-0.916,0.668,64.453,298.828,42.175
-0.894,-0.913,0.447,59.692,310.913,42.358
-1.019,-0.897,0.220,59.387,319.702,41.260
-1.125,-0.887,-0.030,59.021,324.463,40.833
-1.181,-0.871,-0.300,58.044,325.073,43.579
-1.269,-0.856,-0.517,56.824,318.054,46.814
-1.342,-0.878,-0.700,54.993,301.514,46.021
-1.369,-0.910,-0.851,52.307,279.602,40.466
-1.379,-0.923,-1.007,51.270,254.944,31.860
-1.362,-0.902,-1.170,56.580,230.652,22.583
-1.339,-0.866,-1.324,65.491,205.444,14.709
-1.334,-0.814,-1.442,72.266,179.993,9.277
-1.308,-0.765,-1.551,75.806,158.020,5.432
-1.253,-0.759,-1.642,73.242,139.587,3.967
-1.188,-0.760,-1.699,62.439,124.390,5.920
-1.114,-0.783,-1.718,47.668,111.755,11.719
-1.038,-0.789,-1.715,36.499,100.281,19.409
-0.961,-0.773,-1.697,28.625,88.074,25.635
-0.874,-0.739,-1.667,20.508,74.158,30.579
-0.788,-0.696,-1.612,12.634,58.350,32.837
-0.702,-0.666,-1.540,5.554,41.016,31.555
-0.632,-0.633,-1.447,-0.854,22.827,28.809
-0.562,-0.631,-1.337,-8.118,4.456,24.719
-0.469,-0.644,-1.200,-17.761,-11.902,20.508
-0.375,-0.660,-1.053,-26.733,-26.550,17.761
-0.293,-0.691,-0.905,-32.715,-39.185,15.442
-0.212,-0.734,-0.755,-35.889,-49.072,12.817
-0.141,-0.762,-0.624,-37.231,-55.420,11.047
-0.087,-0.771,-0.520,-35.583,-57.861,9.644
-0.066,-0.779,-0.437,-31.982,-58.716,8.240
-0.037,-0.808,-0.373,-29.724,-57.373,6.592
-0.013,-0.826,-0.331,-28.076,-54.199,5.920
-0.012,-0.845,-0.296,-24.841,-50.720,5.432
-0.021,-0.869,-0.257,-20.264,-47.241,4.761
-0.014,-0.877,-0.224,-16.235,-43.823,3.113
-0.000,-0.873,-0.213,-11.658,-39.795,0.427
0.001,-0.888,-0.225,-6.653,-36.926,-1.648
-0.022,-0.906,-0.214,-5.981,-34.973,-0.977
-0.010,-0.909,-0.198,-10.376,-32.776,1.160
0.007,-0.908,-0.186,-14.099,-28.931,2.502
-0.002,-0.911,-0.176,-15.686,-24.719,2.747
-0.019,-0.910,-0.183,-16.541,-20.691,2.869
-0.024,-0.927,-0.213,-18.616,-17.761,4.395
-0.044,-0.939,-0.220,-22.095,-14.954,5.554
-0.061,-0.934,-0.238,-24.780,-13.489,6.226
-0.109,-1.001,-0.178,1.526,0.427,0.183
-0.109,-1.005,-0.180,1.221,-0.122,0.122
-0.106,-1.011,-0.176,0.732,-0.610,0.549
-0.105,-1.013,-0.168,0.183,-0.977,0.366
-0.103,-1.014,-0.162,0.122,-0.854,0.183
-0.096,-1.016,-0.165,0.793,-0.854,0.305
-0.099,-1.017,-0.163,0.916,-0.916,0.854
-0.099,-1.015,-0.158,0.366,-1.221,1.526
-0.088,-1.008,-0.151,-0.305,-1.282,1.709
-0.082,-1.007,-0.146,-0.610,-1.221,1.709
-0.077,-1.008,-0.142,-0.366,-1.465,1.465
-0.073,-1.013,-0.136,-0.488,-1.465,1.526
-0.070,-1.014,-0.127,-1.160,-1.343,1.892
-0.065,-1.014,-0.115,-1.282,-1.160,1.709
-0.061,-1.024,-0.100,-0.854,-0.854,1.221
-0.052,-1.035,-0.071,-0.977,-0.549,0.793
-0.029,-1.038,-0.036,-1.526,0.061,0.671
-0.012,-1.060,0.016,-2.197,1.282,1.160
0.017,-1.070,0.068,-3.296,3.174,2.014
0.038,-1.079,0.119,-4.456,6.348,2.991
0.058,-1.098,0.168,-4.944,10.376,3.906
0.073,-1.103,0.195,-4.089,15.137,4.578
0.072,-1.116,0.213,-1.099,20.203,5.188
0.079,-1.117,0.227,2.563,25.757,5.615
0.086,-1.103,0.232,6.653,30.884,5.676
0.082,-1.098,0.200,13.916,36.072,5.371
0.068,-1.070,0.175,20.020,40.649,3.235
0.065,-1.057,0.115,24.780,44.739,1.526
0.047,-1.032,0.037,30.396,48.645,0.183
0.024,-1.010,-0.071,36.804,52.185,-1.221
-0.016,-0.973,-0.233,44.617,55.725,-3.784
-0.105,-0.911,-0.427,56.519,58.350,-8.301
-0.189,-0.819,-0.608,70.129,58.899,-17.090
-0.240,-0.769,-0.809,79.102,59.570,-30.273
-0.275,-0.723,-1.016,83.008,65.002,-40.466
-0.433,-0.628,-1.267,87.708,74.280,-41.077
-0.675,-0.550,-1.517,92.651,85.693,-36.621
-0.962,-0.499,-1.869,89.050,99.548,-26.672
-1.338,-0.417,-2.236,72.815,112.488,-5.554
-1.775,-0.369,-2.656,40.955,119.995,24.963
-2.269,-0.342,-3.030,-2.625,110.168,57.251
-2.748,-0.153,-3.441,-52.917,74.036,86.487
-3.073,-0.037,-3.555,-98.816,1.465,99.854
-3.025,0.003,-3.316,-143.921,-96.863,93.201
-2.955,0.046,-2.720,-185.486,-216.370,77.026
-2.908,0.033,-1.953,-213.074,-331.787,54.382
-2.823,-0.023,-1.199,-216.431,-429.321,27.466
-2.773,-0.143,-0.459,-190.308,-508.972,-2.869
-2.751,-0.398,0.234,-149.292,-568.542,-33.447
-2.646,-0.643,0.774,-108.276,-603.271,-58.899
-2.461,-0.792,1.136,-72.937,-608.032,-78.613
-2.245,-0.878,1.462,-48.584,-587.280,-86.914
-1.982,-0.886,1.697,-47.485,-548.279,-75.928
-1.719,-0.884,1.936,-67.810,-500.366,-48.584
-1.461,-0.938,2.244,-98.145,-455.017,-12.939
-1.141,-0.972,2.625,-129.150,-413.269,24.658
-0.757,-1.018,2.989,-153.076,-373.108,53.345
-0.384,-1.138,3.218,-162.476,-331.482,64.880
-0.122,-1.224,3.340,-148.315,-291.016,66.467
0.057,-1.278,3.428,-118.591,-255.249,67.932
0.246,-1.307,3.528,-89.905,-225.037,70.251
0.444,-1.277,3.623,-65.613,-196.899,67.688
0.589,-1.174,3.650,-35.278,-164.490,58.105
0.713,-1.127,3.644,1.099,-126.099,36.865
0.762,-1.096,3.549,40.588,-85.999,12.634
0.755,-1.112,3.401,74.829,-45.837,-1.221
0.711,-1.108,3.221,95.764,-3.296,-3.235
0.638,-1.037,3.008,99.243,44.678,2.319
0.524,-0.956,2.740,90.698,93.872,8.667
0.339,-0.911,2.519,85.938,136.902,10.986
0.165,-0.948,2.303,88.135,174.072,7.935
-0.001,-0.970,2.107,90.454,207.031,4.517
-0.140,-0.945,1.898,90.332,236.328,0.793
-0.258,-0.925,1.709,90.210,262.756,-2.197
-0.400,-0.926,1.565,91.125,287.415,-3.479
-0.560,-0.983,1.463,90.515,309.021,-2.686
-0.712,-1.011,1.326,88.074,330.688,3.296
-0.856,-0.991,1.174,85.571,355.042,11.536
-0.989,-0.940,0.985,85.938,379.089,19.348
-1.135,-0.878,0.766,89.478,400.085,25.330
-1.290,-0.848,0.527,91.797,416.016,28.503
-1.423,-0.840,0.241,91.064,425.903,30.884
-1.536,-0.799,-0.077,92.285,428.528,32.654
-1.648,-0.712,-0.379,97.473,420.837,30.273
-1.773,-0.640,-0.620,107.788,401.123,22.827
-1.860,-0.601,-0.857,121.521,374.695,12.146
-1.893,-0.540,-1.095,137.939,345.398,1.465
-1.923,-0.477,-1.329,153.687,312.256,-6.653
-1.927,-0.499,-1.535,160.400,277.039,-10.986
-1.899,-0.510,-1.701,153.870,245.789,-7.874
-1.833,-0.500,-1.838,140.137,217.712,1.160
-1.758,-0.443,-1.920,122.986,192.139,12.634
-1.653,-0.386,-1.982,105.286,168.884,21.851
-1.529,-0.361,-2.010,85.632,148.193,28.503
-1.410,-0.328,-2.033,62.561,127.502,32.959
-1.279,-0.329,-2.019,39.185,103.699,33.691
-1.138,-0.363,-1.944,18.982,74.829,33.508
-1.008,-0.398,-1.791,2.380,42.786,33.569
-0.874,-0.463,-1.558,-12.451,11.841,30.884
-0.703,-0.530,-1.321,-26.489,-13.550,26.367
-0.540,-0.592,-1.106,-36.865,-35.156,21.179
-0.406,-0.659,-0.904,-43.762,-53.772,15.686
-0.288,-0.725,-0.705,-49.683,-68.176,11.597
-0.166,-0.815,-0.489,-54.810,-78.064,8.667
-0.059,-0.894,-0.289,-56.946,-83.801,8.911
0.031,-0.963,-0.115,-55.908,-83.801,10.498
0.111,-1.011,0.039,-52.124,-77.148,11.780
0.179,-1.029,0.129,-46.082,-64.392,13.245
0.219,-1.024,0.169,-37.903,-47.546,14.526
0.229,-1.020,0.147,-30.579,-30.457,15.198
0.219,-1.000,0.102,-24.841,-14.709,15.503
0.194,-0.987,0.037,-20.203,-2.197,14.526
0.162,-0.973,-0.026,-17.273,6.775,12.878
0.122,-0.972,-0.085,-15.808,12.634,10.315
0.096,-0.977,-0.143,-14.709,14.526,7.996
0.065,-0.962,-0.192,-14.465,13.611,5.554
0.045,-0.970,-0.239,-14.526,10.803,2.502
0.008,-0.999,-0.229,-16.663,5.859,-0.061
-0.000,-1.010,-0.220,-18.982,1.343,-0.549
-0.055,-1.006,-0.188,-0.244,-0.977,0.549
-0.061,-1.011,-0.193,0.366,-1.038,0.122
-0.065,-1.014,-0.192,0.305,-1.221,-0.122
-0.067,-1.013,-0.195,0.305,-1.160,-0.122
-0.071,-1.013,-0.196,0.366,-1.099,0.000
-0.067,-1.009,-0.196,-0.244,-1.099,0.610
-0.070,-1.009,-0.192,-0.916,-1.038,1.465
-0.070,-1.016,-0.187,-1.587,-0.793,2.075
-0.074,-1.017,-0.185,-1.770,-0.610,2.380
-0.066,-1.011,-0.180,-1.526,-0.488,2.563
-0.063,-1.017,-0.179,-1.282,-0.244,2.380
-0.070,-1.020,-0.179,-1.099,-0.305,2.075
-0.071,-1.028,-0.180,-0.671,0.061,2.075
-0.062,-1.012,-0.185,-0.244,0.488,1.648
-0.065,-1.013,-0.189,0.977,0.488,1.221
-0.069,-1.016,-0.192,2.014,0.488,0.366
-0.066,-1.010,-0.197,2.686,0.366,-0.122
-0.069,-1.009,-0.194,2.991,0.305,-0.427
-0.065,-1.001,-0.192,2.991,0.244,-0.488
-0.060,-1.003,-0.200,2.380,0.000,0.061
-0.070,-1.005,-0.193,0.305,0.061,0.916
-0.061,-1.011,-0.182,-1.648,0.183,1.526
-0.054,-1.023,-0.168,-2.136,0.427,1.831
-0.054,-1.024,-0.159,-1.831,0.610,2.380
-0.043,-1.024,-0.142,-1.282,1.343,2.502
-0.027,-1.031,-0.123,-0.977,2.319,2.441
-0.013,-1.048,-0.091,-0.793,3.113,2.441
0.010,-1.068,-0.052,-0.671,4.761,2.991
0.031,-1.087,-0.019,0.122,7.751,4.150
0.045,-1.104,0.003,3.357,11.353,5.005
0.059,-1.125,0.006,9.827,16.357,4.822
0.074,-1.108,-0.069,18.982,23.560,4.211
0.015,-1.078,-0.230,27.710,31.799,4.395
-0.100,-0.998,-0.468,36.438,41.260,3.296
-0.109,-0.904,-0.737,47.668,51.025,-5.981
-0.285,-0.726,-1.031,61.951,58.716,-24.231
-0.546,-0.533,-1.377,83.252,62.744,-39.978
-0.819,-0.370,-1.814,105.774,65.857,-52.917
-1.245,-0.262,-2.180,113.586,66.589,-49.377
-1.772,-0.251,-2.556,85.388,66.711,-21.973
-2.228,-0.263,-2.817,18.677,62.134,20.447
-2.546,-0.297,-2.995,-64.270,39.429,67.566
-2.745,-0.296,-2.952,-139.282,-12.085,104.919
-2.771,-0.266,-2.669,-187.317,-86.914,125.793
-2.726,-0.191,-2.292,-208.984,-182.678,128.540
-2.633,-0.109,-1.565,-213.013,-286.682,112.000
-2.487,-0.006,-0.944,-203.674,-377.258,86.121
-2.313,0.021,-0.325,-182.861,-454.346,54.321
-2.077,-0.114,0.312,-156.433,-513.550,19.714
-1.830,-0.330,0.980,-132.202,-554.138,-4.639
-1.555,-0.626,1.743,-118.469,-572.571,-12.268
-1.187,-0.840,2.433,-118.042,-558.777,-2.563
-0.748,-0.879,2.882,-119.446,-511.230,12.512
-0.358,-1.005,3.152,-112.671,-443.115,25.452
-0.018,-1.203,3.399,-103.455,-372.742,40.344
0.273,-1.232,3.513,-99.121,-305.725,56.152
0.537,-1.181,3.586,-90.027,-244.507,68.115
0.848,-1.223,3.687,-78.369,-190.308,74.646
1.099,-1.183,3.680,-69.031,-140.686,76.050
1.262,-1.112,3.640,-54.260,-95.215,70.801
1.367,-1.088,3.540,-30.945,-51.819,58.289
1.366,-1.045,3.390,-1.465,-13.062,41.626
1.307,-1.004,3.212,30.334,19.958,22.888
1.240,-0.983,2.998,59.937,52.307,4.089
1.135,-0.985,2.776,85.876,85.754,-12.756
0.962,-0.972,2.551,104.553,115.540,-26.001
0.819,-0.938,2.314,116.333,148.132,-28.076
0.629,-0.905,2.093,119.629,179.810,-26.855
0.424,-0.939,1.901,118.652,208.008,-27.771
0.200,-0.998,1.740,115.356,233.093,-29.724
-0.046,-1.048,1.561,113.831,254.395,-31.433
-0.267,-1.078,1.421,116.150,272.949,-33.203
-0.462,-1.142,1.316,120.789,288.696,-33.875
-0.635,-1.154,1.188,124.573,304.260,-32.410
-0.816,-1.035,0.997,130.737,322.083,-28.564
-0.963,-0.974,0.789,138.367,338.379,-25.757
-1.104,-0.913,0.573,138.733,349.487,-21.851
-1.224,-0.800,0.317,133.362,357.361,-16.846
-1.328,-0.719,0.099,127.502,362.061,-13.367
-1.401,-0.659,-0.162,122.009,361.267,-10.193
-1.501,-0.577,-0.378,126.587,356.750,-6.531
-1.628,-0.496,-0.572,141.724,347.107,-5.920
-1.705,-0.454,-0.760,153.381,333.435,-7.202
-1.711,-0.341,-0.959,157.593,318.054,-8.423
-1.734,-0.206,-1.185,157.471,298.828,-8.423
-1.774,-0.155,-1.433,151.611,277.527,-6.042
-1.815,-0.124,-1.616,136.169,254.822,-0.977
-1.806,-0.105,-1.765,116.028,231.995,6.042
-1.738,-0.120,-1.894,92.834,203.979,11.536
-1.677,-0.119,-1.953,69.824,171.265,15.015
-1.570,-0.188,-1.962,48.645,138.977,19.531
-1.437,-0.244,-1.873,26.917,105.347,25.513
-1.256,-0.297,-1.741,10.986,70.984,28.442
-1.078,-0.335,-1.602,2.258,39.429,27.771
-0.933,-0.383,-1.455,-7.202,11.536,26.611
-0.789,-0.468,-1.259,-22.583,-11.780,25.696
-0.605,-0.543,-1.114,-39.124,-30.945,23.804
-0.474,-0.626,-0.962,-48.950,-48.035,20.752
-0.346,-0.705,-0.809,-53.284,-63.721,17.151
-0.230,-0.776,-0.651,-56.763,-77.942,13.489
-0.112,-0.886,-0.439,-59.998,-89.844,11.047
0.003,-0.987,-0.234,-59.570,-96.069,10.681
0.115,-1.031,-0.081,-50.354,-93.201,9.338
0.167,-1.050,0.019,-35.889,-81.726,5.676
0.196,-1.062,0.042,-25.574,-65.491,1.404
0.199,-1.078,0.010,-18.555,-47.058,-3.113
0.183,-1.101,-0.047,-13.672,-30.518,-5.676
0.156,-1.103,-0.103,-9.399,-18.799,-5.371
0.120,-1.068,-0.175,-7.690,-11.047,-3.723
0.091,-1.038,-0.242,-9.277,-6.409,-0.610
0.064,-1.022,-0.286,-13.184,-4.150,2.686
0.034,-1.015,-0.306,-18.738,-4.456,5.798
0.010,-1.006,-0.327,-24.109,-6.470,7.568
-0.017,-1.006,-0.331,-26.489,-8.850,7.385
-0.044,-1.005,-0.313,-27.405,-11.719,6.226
-0.055,-1.015,-0.289,-28.625,-13.733,5.066
-0.071,-1.029,-0.256,-28.748,-14.404,4.517
-0.084,-1.026,-0.226,-26.489,-13.245,4.089
-0.082,-1.013,-0.231,-20.874,-10.315,3.479
-0.013,-1.014,-0.195,-0.488,-2.380,-0.366
-0.016,-1.010,-0.198,-0.366,-2.197,-0.427
-0.017,-1.008,-0.201,0.244,-2.075,-0.732
-0.018,-1.006,-0.205,0.183,-2.136,-1.221
-0.022,-1.010,-0.207,-1.099,-2.380,-0.671
-0.024,-1.012,-0.204,-2.258,-2.625,0.122
-0.025,-1.013,-0.201,-2.808,-2.686,0.488
-0.024,-1.017,-0.193,-3.357,-2.991,0.793
-0.021,-1.029,-0.180,-3.540,-2.930,0.793
-0.017,-1.031,-0.170,-2.441,-2.563,0.549
-0.017,-1.031,-0.174,-0.366,-1.587,0.366
-0.019,-1.023,-0.174,0.977,-0.671,0.427
-0.016,-1.018,-0.181,1.160,0.000,0.183
-0.017,-1.018,-0.181,1.038,0.366,0.061
-0.017,-1.011,-0.181,0.793,0.427,0.061
-0.013,-1.007,-0.184,0.732,0.183,-0.061
-0.011,-1.008,-0.181,0.549,0.305,0.000
-0.006,-1.006,-0.177,-0.122,0.549,-0.122
-0.003,-1.009,-0.170,-0.488,0.977,-0.305
-0.002,-1.011,-0.168,0.061,1.770,-0.427
-0.001,-1.005,-0.170,0.366,2.869,0.061
-0.000,-1.001,-0.174,0.366,3.723,0.610
0.001,-0.995,-0.179,-0.305,4.517,0.916
0.000,-0.989,-0.191,-1.465,5.127,1.465
0.001,-0.987,-0.204,-2.136,5.920,1.770
0.007,-0.968,-0.232,-2.136,6.470,1.587
0.022,-0.957,-0.276,-1.709,6.897,0.793
0.026,-0.933,-0.354,-2.075,8.667,-0.305
0.018,-0.892,-0.472,-0.610,10.681,-2.808
0.012,-0.852,-0.602,4.333,12.634,-7.996
-0.016,-0.827,-0.736,10.620,14.648,-16.724
-0.046,-0.834,-0.896,14.648,15.747,-28.748
-0.080,-0.835,-1.009,18.066,15.808,-43.823
-0.158,-0.795,-1.172,27.222,17.578,-61.401
-0.238,-0.749,-1.390,43.823,23.254,-81.299
-0.383,-0.772,-1.581,58.899,33.325,-94.543
-0.582,-0.759,-1.738,60.730,46.814,-93.201
-0.794,-0.761,-1.880,46.509,62.744,-80.933
-1.046,-0.720,-2.017,27.283,75.378,-65.002
-1.350,-0.636,-2.177,11.780,81.299,-54.260
-1.652,-0.550,-2.348,9.277,76.965,-50.537
-1.969,-0.449,-2.533,11.169,62.927,-48.279
-2.276,-0.381,-2.677,6.958,34.729,-44.556
-2.498,-0.333,-2.722,-9.216,-10.620,-35.583
-2.649,-0.344,-2.564,-34.180,-73.303,-22.827
-2.747,-0.357,-2.172,-69.397,-150.513,-7.629
-2.687,-0.316,-1.642,-109.741,-232.483,6.714
-2.594,-0.307,-0.921,-136.658,-312.561,15.198
-2.463,-0.404,-0.139,-145.996,-384.155,13.550
