aX,aY,aZ,gX,gY,gZ
-0.053,-1.020,-0.166,-10.986,-9.216,-0.305
-0.049,-1.038,-0.149,-11.658,-7.935,-0.977
-0.046,-1.047,-0.125,-11.047,-6.531,-0.732
-0.053,-1.053,-0.135,-10.071,-6.348,-0.061
-0.072,-1.056,-0.144,-10.376,-7.324,2.197
-0.075,-1.021,-0.145,-10.986,-7.507,4.211
-0.094,-1.028,-0.134,-5.737,-1.404,3.845
-0.097,-1.030,-0.133,-4.883,-1.221,3.601
-0.102,-1.028,-0.135,-3.357,-1.221,3.052
-0.101,-1.026,-0.134,-2.380,-1.038,2.625
-0.096,-1.026,-0.135,-1.892,-0.854,2.075
-0.093,-1.023,-0.131,-1.587,-0.916,1.709
-0.091,-1.024,-0.129,-0.732,-0.671,0.977
-0.088,-1.019,-0.123,0.122,-0.366,0.305
-0.085,-1.012,-0.126,0.427,-0.122,-0.183
-0.082,-1.021,-0.125,0.793,0.244,-0.366
-0.085,-1.031,-0.125,1.404,0.610,-0.366
-0.094,-1.035,-0.126,1.526,0.732,0.427
-0.092,-1.033,-0.128,0.793,0.610,1.526
-0.092,-1.024,-0.130,-0.061,0.610,2.686
-0.092,-1.027,-0.124,-0.671,0.610,2.502
-0.086,-1.031,-0.125,-1.648,0.549,2.686
-0.085,-1.035,-0.124,-2.441,0.366,3.845
-0.085,-1.036,-0.113,-3.113,0.427,4.517
-0.081,-1.038,-0.112,-3.479,0.488,4.883
-0.077,-1.042,-0.103,-3.784,0.488,5.371
-0.075,-1.050,-0.102,-3.845,0.732,5.981
-0.073,-1.053,-0.096,-3.906,1.709,6.409
-0.065,-1.059,-0.097,-3.784,2.686,6.165
-0.059,-1.059,-0.105,-3.357,3.418,6.104
-0.061,-1.074,-0.117,-2.441,3.723,6.165
-0.056,-1.075,-0.135,-2.319,4.028,6.836
-0.046,-1.074,-0.145,-2.686,4.639,7.507
-0.040,-1.088,-0.161,-2.380,5.005,7.507
-0.027,-1.104,-0.195,-0.366,5.432,6.348
-0.020,-1.129,-0.236,2.380,5.493,5.066
0.000,-1.149,-0.318,5.737,5.493,4.150
-0.001,-1.136,-0.422,11.841,5.371,2.625
0.004,-1.138,-0.560,19.043,4.822,-1.892
0.002,-1.146,-0.717,23.621,4.883,-8.728
-0.114,-1.119,-0.913,26.550,4.578,-14.832
-0.106,-1.122,-1.131,24.048,7.507,-17.090
-0.275,-1.144,-1.380,13.428,8.606,-11.047
-0.460,-1.105,-1.701,4.150,6.897,-1.770
-0.686,-1.089,-1.982,1.343,1.892,7.996
-0.905,-1.072,-2.265,3.052,-8.789,17.212
-1.095,-1.102,-2.586,11.047,-25.635,21.301
-1.324,-0.886,-2.845,25.452,-47.729,23.193
-1.498,-0.651,-3.031,38.879,-76.843,16.113
-1.621,-0.589,-3.097,51.025,-115.723,0.183
-1.782,-0.578,-2.969,57.678,-161.987,-12.512
-1.927,-0.566,-2.689,46.448,-206.360,-21.545
-2.019,-0.544,-2.347,21.545,-244.263,-26.917
-2.022,-0.527,-1.976,-2.991,-275.940,-27.710
-2.040,-0.546,-1.543,-23.804,-303.467,-24.048
-2.040,-0.559,-1.060,-42.542,-324.951,-15.381
-2.026,-0.513,-0.604,-58.655,-338.074,-3.723
-1.977,-0.390,-0.196,-71.533,-345.276,7.629
-1.854,-0.306,0.261,-83.496,-350.586,16.663
-1.626,-0.336,0.769,-98.389,-356.934,20.691
-1.310,-0.451,1.300,-113.159,-361.084,19.165
-0.985,-0.560,1.794,-121.033,-358.643,15.259
-0.719,-0.680,2.171,-117.554,-348.083,11.475
-0.382,-0.818,2.444,-105.286,-325.684,9.277
-0.143,-0.941,2.582,-93.201,-295.410,7.690
0.074,-1.012,2.656,-79.224,-257.812,5.127
0.192,-1.038,2.718,-63.232,-220.032,5.371
0.388,-1.119,2.819,-49.377,-181.763,8.606
0.390,-1.219,2.839,-39.734,-149.902,14.465
0.309,-1.293,2.829,-30.151,-119.812,19.043
0.198,-1.349,2.762,-14.771,-90.271,21.912
0.091,-1.386,2.686,2.625,-62.500,22.522
-0.035,-1.389,2.582,17.639,-38.147,21.606
